ID,Paragraph A,Paragraph B,,,,,,,,,,Multi hop question
bhurwitz,"Dr. Bonnie Hurwitz is an Associate Professor of Biosystems Engineering at the University of Arizona and BIO5 Institute Fellow. She has worked as a computational biologist for nearly two decades on interdisciplinary projects in both industry and academia. Her research on the human/earth microbiome incorporates large-scale –omics datasets, high-throughput computing, and big data analytics towards research questions in “One Health”. In particular, Dr. Hurwitz is interested in the relationship between the environment, microbial communities, and their hosts. Dr. Hurwitz is well-cited for her work in computational biology in diverse areas from plant genomics to viral metagenomics.","Dr. Bonnie Hurwitz is an Associate Professor of Biosystems Engineering at the University of Arizona and BIO5 Institute Fellow. She has worked as a computational biologist for nearly two decades on interdisciplinary projects in both industry and academia. Her research on the human/earth microbiome incorporates large-scale –omics datasets, high-throughput computing, and big data analytics towards research questions in “One Health”. In particular, Dr. Hurwitz is interested in the relationship between the environment, microbial communities, and their hosts. Dr. Hurwitz is well-cited for her work in computational biology in diverse areas from plant genomics to viral metagenomics.",,,,,,,,,,
sarice,"Dr. Rice is a Professor of Pediatrics in the University of Arizona Department of Pediatrics.  She holds a bachelor’s degree from Stanford University, a doctoral degree in Medicine from the University of Arizona, and a master’s degree in health evaluation sciences from the University of Virginia.She received residency and chief residency training in pediatrics at the University of Arizona where she received multiple teaching awards.

She worked for several years as a general pediatrician on the Arizona-Mexico border as part of the National Health Service Corp. During this time she developed a particular interest in children with special needs and policy issues related to their care. She then took a position on the faculty at the University of Arizona Department of Pediatrics working as a primary care provider for children with special health care needs and serving as a medical director for the Children’s Rehabilitation Services.

In 1999, Dr. Rice returned to fellowship training in developmental pediatrics at the University of Virginia and was granted an Individual National Research Service Award to support the development of a risk- adjusted model for functional outcome after traumatic brain injury in children.  She completed fellowship training at UVA and remained on faculty in Developmental Pediatrics, working clinically with children with traumatic brain injury and autism and was Medical Director of Head of the Kluge Children’s Rehabilitation Center and Research Institute, University of Virginia.

She returned to Arizona in April, 2005 to join the Department of Pediatrics at the UA. She has a special interest in children with traumatic brain injury, autism and myelomeningocele.  She works clinically on many different multi-disciplinary teams with children with varied disabilities. 

She teaches in the UA medical school in both the basic science and the clinical medical curricula. She is active with the American Academy of Pediatrics as an editor of an online publication for developmental pediatricians, PREPDB.  She is also active in the Arizona chapter of the AAP and multiple community and state boards.","Dr. Rice is a Professor of Pediatrics in the University of Arizona Department of Pediatrics.  She holds a bachelor’s degree from Stanford University, a doctoral degree in Medicine from the University of Arizona, and a master’s degree in health evaluation sciences from the University of Virginia.She received residency and chief residency training in pediatrics at the University of Arizona where she received multiple teaching awards.

She worked for several years as a general pediatrician on the Arizona-Mexico border as part of the National Health Service Corp. During this time she developed a particular interest in children with special needs and policy issues related to their care. She then took a position on the faculty at the University of Arizona Department of Pediatrics working as a primary care provider for children with special health care needs and serving as a medical director for the Children’s Rehabilitation Services.

In 1999, Dr. Rice returned to fellowship training in developmental pediatrics at the University of Virginia and was granted an Individual National Research Service Award to support the development of a risk- adjusted model for functional outcome after traumatic brain injury in children.  She completed fellowship training at UVA and remained on faculty in Developmental Pediatrics, working clinically with children with traumatic brain injury and autism and was Medical Director of Head of the Kluge Children’s Rehabilitation Center and Research Institute, University of Virginia.

She returned to Arizona in April, 2005 to join the Department of Pediatrics at the UA. She has a special interest in children with traumatic brain injury, autism and myelomeningocele.  She works clinically on many different multi-disciplinary teams with children with varied disabilities. 

She teaches in the UA medical school in both the basic science and the clinical medical curricula. She is active with the American Academy of Pediatrics as an editor of an online publication for developmental pediatricians, PREPDB.  She is also active in the Arizona chapter of the AAP and multiple community and state boards.",,,,,,,,,,
bassford,"Dr. Bassford has been active in the area of cancer prevention and women's health.  She was Principal Investigator for the Arizona site of the Women's Health Initiative, a randomized clinical trial of three preventive interventions in postmenopausal women, a grant awarded by the National Heart, Lung, & Blood Institute (NHLBI).  Dr. Bassford developed the Mensajeras de Salud Project, a lay health education project directed at breast and cervical cancer in Hispanic women, which operated for ten years in Tucson.  She has served on the Mammography Advisory Panel of the Agency for Health Care Policy and Research, the FDA Mammography Advisory Committee, and the National Institute of Health (NIH) Consensus Panel on Osteoporosis. Dr. Bassford also has extensive experience in the health care needs of adults with developmental disabilities.  Beginning in the 1980s, Dr. Bassford worked with community agencies to successfully transition developmentally disabled adults from an institutional setting to community living.  Since 2006, she has been the principal investigator for the Sonoran University Center for Excellence in Developmental Disabilities in DFCM, where she continues to lead efforts to provide comprehensive, competent and compassionate health care services to people with developmental disabilities.","Dr. Bassford has been active in the area of cancer prevention and women's health.  She was Principal Investigator for the Arizona site of the Women's Health Initiative, a randomized clinical trial of three preventive interventions in postmenopausal women, a grant awarded by the National Heart, Lung, & Blood Institute (NHLBI).  Dr. Bassford developed the Mensajeras de Salud Project, a lay health education project directed at breast and cervical cancer in Hispanic women, which operated for ten years in Tucson.  She has served on the Mammography Advisory Panel of the Agency for Health Care Policy and Research, the FDA Mammography Advisory Committee, and the National Institute of Health (NIH) Consensus Panel on Osteoporosis. Dr. Bassford also has extensive experience in the health care needs of adults with developmental disabilities.  Beginning in the 1980s, Dr. Bassford worked with community agencies to successfully transition developmentally disabled adults from an institutional setting to community living.  Since 2006, she has been the principal investigator for the Sonoran University Center for Excellence in Developmental Disabilities in DFCM, where she continues to lead efforts to provide comprehensive, competent and compassionate health care services to people with developmental disabilities.",,,,,,,,,,
mcgrath,,,,,,,,,,,,
jshaver,"Joan Shaver, PhD, RN, FAAN is Professor and prior Dean (2009-2018) of the College of Nursing at the University of Arizona. She is Dean Emeritus, University of Illinois at Chicago, where she served for 13 years.  She has been a member of the National Advisory Council for the NIH National Institute of Nursing Research (NINR) and the Scientific Advisory Committee for the Alberta Heritage Foundation for Medical Research in Canada. She is past President of the American Academy of Nursing and was a panel member for the IOM Health Professions Education Summit. Dr. Shaver co-led a NIH NINR-funded Center for Women’s Health Research and the research core for the National Center of Excellence in Women’s Health. In Chicago, she served on the Board of Directors for Advocate HealthCare, a multi-hospital, integrated, health care system.

Dr. Shaver’s scientific scholarship encompasses sleep issues for women in menopausal transition and in women with fatiguing and painful health conditions, mainly fibromyalgia and chronic fatigue syndrome. She has conducted NIH-funded research in women’s health and sleep science, publishing her scientific work in nursing, medical and interdisciplinary journals.

Dr. Shaver holds a PhD degree in Physiology and Biophysics (School of Medicine) and a master’s in nursing (School of Nursing) both from the University of Washington, Seattle, WA and a baccalaureate degree (from University of Alberta in Canada).","Joan Shaver, PhD, RN, FAAN is Professor and prior Dean (2009-2018) of the College of Nursing at the University of Arizona. She is Dean Emeritus, University of Illinois at Chicago, where she served for 13 years.  She has been a member of the National Advisory Council for the NIH National Institute of Nursing Research (NINR) and the Scientific Advisory Committee for the Alberta Heritage Foundation for Medical Research in Canada. She is past President of the American Academy of Nursing and was a panel member for the IOM Health Professions Education Summit. Dr. Shaver co-led a NIH NINR-funded Center for Women’s Health Research and the research core for the National Center of Excellence in Women’s Health. In Chicago, she served on the Board of Directors for Advocate HealthCare, a multi-hospital, integrated, health care system.

Dr. Shaver’s scientific scholarship encompasses sleep issues for women in menopausal transition and in women with fatiguing and painful health conditions, mainly fibromyalgia and chronic fatigue syndrome. She has conducted NIH-funded research in women’s health and sleep science, publishing her scientific work in nursing, medical and interdisciplinary journals.

Dr. Shaver holds a PhD degree in Physiology and Biophysics (School of Medicine) and a master’s in nursing (School of Nursing) both from the University of Washington, Seattle, WA and a baccalaureate degree (from University of Alberta in Canada).",,,,,,,,,,
erbleecker,"Eugene R. Bleeker, MD, joined the University of Arizona faculty in January 2017 as a professor of medicine; co-chief of the Division of Genetics, Genomics and Precision Medicine, Department of Medicine, UA College of Medicine – Tucson; and co-director of the Division of Pharmacogenomics, Center for Applied Genetics and Genomics Medicine, University of Arizona Health Sciences. Prior to that, he was a professor and director of the Center for Human Genomics and Personalized Medicine Research, the Thomas H Davis Professor of Pulmonary Medicine, and professor of translational sciences at Wake Forest University School of Medicine in Winston-Salem, N.C. He also was a professor of public health and pediatrics at Wake Forest University Health Sciences. Dr. Bleecker earned his medical degree at the State University of New York, Downstate Medical Center, in Brooklyn, N.Y. He was an intern and resident in internal medicine at the State University of New York, Kings County Hospital, Downstate Medical Center, and a resident at The Johns Hopkins Hospital in Baltimore, Md. He completed a fellowship at the NIH Gerontology Research Center, as well as a fellowship in pulmonary diseases and critical care medicine in the Department of Medicine and the Cardiovascular Research Institute at the University of California, San Francisco. Dr. Bleecker is a member of several professional societies and is a Fellow of The Royal College of Physicians, American College of Physicians, American College of Chest Physicians, and American Academy of Allergy, Asthma, and Immunology. He is the author or coauthor of more than 350 abstracts and more than 310 scientific manuscripts, reviews, and book chapters.","Eugene R. Bleeker, MD, joined the University of Arizona faculty in January 2017 as a professor of medicine; co-chief of the Division of Genetics, Genomics and Precision Medicine, Department of Medicine, UA College of Medicine – Tucson; and co-director of the Division of Pharmacogenomics, Center for Applied Genetics and Genomics Medicine, University of Arizona Health Sciences. Prior to that, he was a professor and director of the Center for Human Genomics and Personalized Medicine Research, the Thomas H Davis Professor of Pulmonary Medicine, and professor of translational sciences at Wake Forest University School of Medicine in Winston-Salem, N.C. He also was a professor of public health and pediatrics at Wake Forest University Health Sciences. Dr. Bleecker earned his medical degree at the State University of New York, Downstate Medical Center, in Brooklyn, N.Y. He was an intern and resident in internal medicine at the State University of New York, Kings County Hospital, Downstate Medical Center, and a resident at The Johns Hopkins Hospital in Baltimore, Md. He completed a fellowship at the NIH Gerontology Research Center, as well as a fellowship in pulmonary diseases and critical care medicine in the Department of Medicine and the Cardiovascular Research Institute at the University of California, San Francisco. Dr. Bleecker is a member of several professional societies and is a Fellow of The Royal College of Physicians, American College of Physicians, American College of Chest Physicians, and American Academy of Allergy, Asthma, and Immunology. He is the author or coauthor of more than 350 abstracts and more than 310 scientific manuscripts, reviews, and book chapters.",,,,,,,,,,
fkg,"Dr. Ghishan is internationally recognized for his research in pediatric gastroenterology and nutrition. In the course of his career, he has authored more than 400 publications including original articles, editorials, abstracts, book reviews and chapters. He has contributed significantly to the major textbooks in pediatric gastroenterology including: Pediatric Gastrointestinal Disease, Pediatric Nutrition, Nelson’s Textbook of Pediatrics, Liver Diseases in Children and Textbook of Clinical Pediatrics. He is an associate editor for the major textbook, Physiology of the Gastrointestinal Tract. His work has been continually funded by the National Institutes of Health for more than 30 years. In 1996 and again in 2008, he received the prestigious MERIT Award from the National Institutes of Health for “Consistent and Excellent Contributions to Scientific Knowledge”. In 2004, Dr. Ghishan was the recipient of the Shwachman Award presented for major, life-long scientific and educational contributions to the field of pediatric gastroenterology, hepatology or nutrition in North America. In 2014, he was presented with the ""Horace W. Davenport Distinguished Lectureship Award"" by the Gastrointestinal & Liver Section of the American Physiological Society.","Dr. Ghishan is internationally recognized for his research in pediatric gastroenterology and nutrition. In the course of his career, he has authored more than 400 publications including original articles, editorials, abstracts, book reviews and chapters. He has contributed significantly to the major textbooks in pediatric gastroenterology including: Pediatric Gastrointestinal Disease, Pediatric Nutrition, Nelson’s Textbook of Pediatrics, Liver Diseases in Children and Textbook of Clinical Pediatrics. He is an associate editor for the major textbook, Physiology of the Gastrointestinal Tract. His work has been continually funded by the National Institutes of Health for more than 30 years. In 1996 and again in 2008, he received the prestigious MERIT Award from the National Institutes of Health for “Consistent and Excellent Contributions to Scientific Knowledge”. In 2004, Dr. Ghishan was the recipient of the Shwachman Award presented for major, life-long scientific and educational contributions to the field of pediatric gastroenterology, hepatology or nutrition in North America. In 2014, he was presented with the ""Horace W. Davenport Distinguished Lectureship Award"" by the Gastrointestinal & Liver Section of the American Physiological Society.",,,,,,,,,,
heidorn,"P. Bryan Heidorn's areas of research include natural language processing, text mining for metadata and information retrieval, particularly in biodiversity literature, and museum informatics. 

Heidorn became the Director of the School of Information when the School of Information Resources and Library Science (SIRLS) merged with the School of Information Science, Technology and Arts (SISTA) in July 2015. From 2009 to 2015 he was the SIRLS Director. Dr. Heidorn stepped down as Director in January 2019 and now serves as the Director of Research and the Associate Director. Prior to coming to the UA, Heidorn was a faculty member of the Graduate School of Library and Information Science at the University of Illinois at Urbana-Champaign. For the last two years he also served as a program manager of the Division of Biological Infrastructure at the National Science Foundation. Bryan served in a number of posts including President, VP and Grants Committee Chair of the JRS Biodiversity Foundation which funds work in Africa and South America for biodiversity informatics projects for 7 years ending 2013. He has served to several years on the Organization for Tropical Studies Science and Informatics Committees. He is currently the the Chair of the Informatics Committee and on the OTS Board of Directors.","P. Bryan Heidorn's areas of research include natural language processing, text mining for metadata and information retrieval, particularly in biodiversity literature, and museum informatics. 

Heidorn became the Director of the School of Information when the School of Information Resources and Library Science (SIRLS) merged with the School of Information Science, Technology and Arts (SISTA) in July 2015. From 2009 to 2015 he was the SIRLS Director. Dr. Heidorn stepped down as Director in January 2019 and now serves as the Director of Research and the Associate Director. Prior to coming to the UA, Heidorn was a faculty member of the Graduate School of Library and Information Science at the University of Illinois at Urbana-Champaign. For the last two years he also served as a program manager of the Division of Biological Infrastructure at the National Science Foundation. Bryan served in a number of posts including President, VP and Grants Committee Chair of the JRS Biodiversity Foundation which funds work in Africa and South America for biodiversity informatics projects for 7 years ending 2013. He has served to several years on the Organization for Tropical Studies Science and Informatics Committees. He is currently the the Chair of the Informatics Committee and on the OTS Board of Directors.",,,,,,,,,,
siemens,,,,,,,,,,,,
mschaap,,,,,,,,,,,,
vnfonsam,"Valentine N. Nfonsam, MD, MS, FACS, is a professor with the University of Arizona Department of Surgery Division of Surgical Oncology. He specializes in colon and rectal surgery, colorectal oncology, and complex pelvic floor disorders.

Dr. Nfonsam performs surgeries for inflammatory bowel disease, anorectal disease, and benign and malignant colorectal diseases. He is an expert in the surgical management of pelvic floor disease, especially fecal incontinence. He also performs colonoscopies and endoscopic treatment of polyps. Dr. Nfonsam is one of just a few surgeons in the nation using minimally invasive techniques for colon and rectal surgery, such as advanced laparoscopy, single-incision surgery, and robot-assisted surgery, which have been shown to reduce the patient’s wound infection rate, post-operative pain, length of stay in the hospital, and overall recovery time.

A graduate of the University of Illinois College of Medicine in Chicago, Dr. Nfonsam completed his surgery residency training at North Shore-Long Island Jewish Health System in New Hyde Park, New York. During his surgical training, he completed a minimally invasive surgery (MIS) research fellowship at Cleveland Clinic. Dr. Nfonsam comes to the University of Arizona from the University of South Florida, Tampa, where he completed a two-year fellowship in colon and rectal surgery. He has taught a course in total mesorectal excision (TME) in rectal cancer treatment, which is an essential component in the management of rectal cancer.

Dr. Nfonsam’s research focuses on colorectal cancer in young patients, inflammatory bowel disease, and the management of pelvic floor disorders. He has published articles on his research in peer-reviewed journals and has presented at national and international meetings.","Valentine N. Nfonsam, MD, MS, FACS, is a professor with the University of Arizona Department of Surgery Division of Surgical Oncology. He specializes in colon and rectal surgery, colorectal oncology, and complex pelvic floor disorders.

Dr. Nfonsam performs surgeries for inflammatory bowel disease, anorectal disease, and benign and malignant colorectal diseases. He is an expert in the surgical management of pelvic floor disease, especially fecal incontinence. He also performs colonoscopies and endoscopic treatment of polyps. Dr. Nfonsam is one of just a few surgeons in the nation using minimally invasive techniques for colon and rectal surgery, such as advanced laparoscopy, single-incision surgery, and robot-assisted surgery, which have been shown to reduce the patient’s wound infection rate, post-operative pain, length of stay in the hospital, and overall recovery time.

A graduate of the University of Illinois College of Medicine in Chicago, Dr. Nfonsam completed his surgery residency training at North Shore-Long Island Jewish Health System in New Hyde Park, New York. During his surgical training, he completed a minimally invasive surgery (MIS) research fellowship at Cleveland Clinic. Dr. Nfonsam comes to the University of Arizona from the University of South Florida, Tampa, where he completed a two-year fellowship in colon and rectal surgery. He has taught a course in total mesorectal excision (TME) in rectal cancer treatment, which is an essential component in the management of rectal cancer.

Dr. Nfonsam’s research focuses on colorectal cancer in young patients, inflammatory bowel disease, and the management of pelvic floor disorders. He has published articles on his research in peer-reviewed journals and has presented at national and international meetings.",,,,,,,,,,
lopezg3,"Dr. Lopez’s current research focuses on food safety, water quality and transmission of pathogens in indoor environments. The detection of viruses and bacteria in environmental water samples (lakes and rivers used for recreation, agriculture irrigation systems, potable distribution systems) and fresh produce such as leafy greens is critical to reducing the risk to humans from contact with fresh produce and contaminated water. Through the utilization of quantitative polymerase chain reaction (qPCR) molecular methods they detect pathogenic microorganisms such as viruses (Norovirus) and bacteria (Salmonella) in order to determine how contaminated various types of environmental waters are. They plan to expand detection methods by using droplet digital (ddPCR) a cutting edge detection platform for detection of pathogens in very small quantities. In addition, understanding the presence and transmission of microbial pathogens in long-term care facilities, outpatient clinics, hospitals, and other indoor environments such as offices and schools is essential in developing better hygenic strategies in reducing the risk of exposure to these dangerous viruses and bacteria. In this area of research, cultural methods are used in conjunction with molecular detection methods specific for each microorganism in order to compare viable but nonculturable organisms.","Dr. Lopez’s current research focuses on food safety, water quality and transmission of pathogens in indoor environments. The detection of viruses and bacteria in environmental water samples (lakes and rivers used for recreation, agriculture irrigation systems, potable distribution systems) and fresh produce such as leafy greens is critical to reducing the risk to humans from contact with fresh produce and contaminated water. Through the utilization of quantitative polymerase chain reaction (qPCR) molecular methods they detect pathogenic microorganisms such as viruses (Norovirus) and bacteria (Salmonella) in order to determine how contaminated various types of environmental waters are. They plan to expand detection methods by using droplet digital (ddPCR) a cutting edge detection platform for detection of pathogens in very small quantities. In addition, understanding the presence and transmission of microbial pathogens in long-term care facilities, outpatient clinics, hospitals, and other indoor environments such as offices and schools is essential in developing better hygenic strategies in reducing the risk of exposure to these dangerous viruses and bacteria. In this area of research, cultural methods are used in conjunction with molecular detection methods specific for each microorganism in order to compare viable but nonculturable organisms.",,,,,,,,,,
flesch,"Aaron is a research scientist in the School of Natural Resources and the Environment at the University of Arizona and is an active member of the research community on Tumamoc Hill. He studies the distribution, abundance, and demographics of wildlife populations, and focuses on research questions relevant to conservation and management. He has worked in southwestern North America since 1996, and with wildlife and plant communities in northwest Mexico since 2000. Aaron is passionate about fieldwork, ecology, and landscape exploration, and he is committed to producing science that has both theoretical and applied value. Some of his recent projects have focused on the ecology of pygmy owls and elf owls in the Sonoran desert, the distribution, abundance, habitat relationships, and biogeography of breeding birds in the Sky Islands and Sierra Madre Occidental in Mexico, and spatiotemporal dynamics of small vertebrate populations in the Sonoran desert. Aaron earned a B.A. from Prescott College, a M.S. in Wildlife Ecology from the University of Arizona, and a Ph.D. in Organismal Biology and Ecology from the University of Montana.","Aaron is a research scientist in the School of Natural Resources and the Environment at the University of Arizona and is an active member of the research community on Tumamoc Hill. He studies the distribution, abundance, and demographics of wildlife populations, and focuses on research questions relevant to conservation and management. He has worked in southwestern North America since 1996, and with wildlife and plant communities in northwest Mexico since 2000. Aaron is passionate about fieldwork, ecology, and landscape exploration, and he is committed to producing science that has both theoretical and applied value. Some of his recent projects have focused on the ecology of pygmy owls and elf owls in the Sonoran desert, the distribution, abundance, habitat relationships, and biogeography of breeding birds in the Sky Islands and Sierra Madre Occidental in Mexico, and spatiotemporal dynamics of small vertebrate populations in the Sonoran desert. Aaron earned a B.A. from Prescott College, a M.S. in Wildlife Ecology from the University of Arizona, and a Ph.D. in Organismal Biology and Ecology from the University of Montana.",,,,,,,,,,
gondyleroy,"Gondy Leroy joined the Eller College of Management in 2013. Before coming to Eller, she taught at Claremont Graduate College, which she joined after earning her PhD in Management Information Systems from the University of Arizona in 2003. Her areas of expertise include natural language processing, text mining, text analytics, search engines, information retrieval and extraction and understanding by consumers, medical and biomedical informatics and human computer interaction and user studies. She is a member of the Association for Information Systems (AIS), the Eller College Diversity and Inclusion Task Force and a senior member of the Institute of Electrical and Electronics Engineers.","Gondy Leroy joined the Eller College of Management in 2013. Before coming to Eller, she taught at Claremont Graduate College, which she joined after earning her PhD in Management Information Systems from the University of Arizona in 2003. Her areas of expertise include natural language processing, text mining, text analytics, search engines, information retrieval and extraction and understanding by consumers, medical and biomedical informatics and human computer interaction and user studies. She is a member of the Association for Information Systems (AIS), the Eller College Diversity and Inclusion Task Force and a senior member of the Institute of Electrical and Electronics Engineers.",,,,,,,,,,
ttan,,,,,,,,,,,,
poirierd,,,,,,,,,,,,
rfleisch,,,,,,,,,,,,
ghosh,,,,,,,,,,,,
tomevans,"Tom Evans joined SGD faculty in January 2018. His current work investigates the dynamics of human-environment relationships including land use, agricultural decision-making, food security and environmental governance. Previous research focused on deforestation/reforestation, urban ecosystems, and community resilience. Much of his work involves the integration of household-level analysis with environmental data and is draws on extensive fieldwork campaigns. Methodologically his research utilizes techniques from spatial analysis, GIS, remote sensing, econometric analysis and simulation modeling. Research with Dr. Evans' group is multi-disciplinary, collaborative and team-based where graduate students and post-docs work with researchers from economics, biology, environmental science, political science among other disciplines.","Tom Evans joined SGD faculty in January 2018. His current work investigates the dynamics of human-environment relationships including land use, agricultural decision-making, food security and environmental governance. Previous research focused on deforestation/reforestation, urban ecosystems, and community resilience. Much of his work involves the integration of household-level analysis with environmental data and is draws on extensive fieldwork campaigns. Methodologically his research utilizes techniques from spatial analysis, GIS, remote sensing, econometric analysis and simulation modeling. Research with Dr. Evans' group is multi-disciplinary, collaborative and team-based where graduate students and post-docs work with researchers from economics, biology, environmental science, political science among other disciplines.",,,,,,,,,,
kgklein,,,,,,,,,,,,
jrussell,,,,,,,,,,,,
arabyan,,,,,,,,,,,,
kpogreba,"Kristen Pogreba Brown, Ph.D., M.P.H., is an assistant professor of epidemiology at the University of Arizona Mel and Enid Zuckerman College of Public Health. Prior to joining the faculty, Dr. Pogreba-Brown was an Epidemiologist with the College as the director of the Student Aid for Field Epidemiology Response (SAFER) team. In addition to continuing to oversee the SAFER program, her research projects are focused on foodborne diseases and improving methodology to respond to outbreak investigations. She is currently working on a project to identify the risk factors related to foodborne infection as well as the risk factors related to specific chronic outcomes following acute disease. She has recently initiated a One Health Program at the University to form collaborative research teams from across campus and develop a graduate level certificate program. She is also actively involved in public health preparedness activities, specifically for large events. Dr. Pogreba-Brown works with various county health departments in Arizona as well as the state health department to aid in outbreak investigations and serves on the state’s Foodborne Taskforce Committee.","Kristen Pogreba Brown, Ph.D., M.P.H., is an assistant professor of epidemiology at the University of Arizona Mel and Enid Zuckerman College of Public Health. Prior to joining the faculty, Dr. Pogreba-Brown was an Epidemiologist with the College as the director of the Student Aid for Field Epidemiology Response (SAFER) team. In addition to continuing to oversee the SAFER program, her research projects are focused on foodborne diseases and improving methodology to respond to outbreak investigations. She is currently working on a project to identify the risk factors related to foodborne infection as well as the risk factors related to specific chronic outcomes following acute disease. She has recently initiated a One Health Program at the University to form collaborative research teams from across campus and develop a graduate level certificate program. She is also actively involved in public health preparedness activities, specifically for large events. Dr. Pogreba-Brown works with various county health departments in Arizona as well as the state health department to aid in outbreak investigations and serves on the state’s Foodborne Taskforce Committee.",,,,,,,,,,
shaheenm,"A member of the UA Cancer Center and UA Skin Cancer Institute, Dr. Shaheen received his medical degree from Damascus University in Syria, and then went on to complete his residency and internship at Southern Illinois University School of Medicine, Springfield, Ill, specializing in internal medicine. He completed his fellowship at Indiana University Medical Center, specializing in hematology/oncology. Dr. Shaheen is certified by the American Board of Internal Medicine in hematology and medical oncology. ","A member of the UA Cancer Center and UA Skin Cancer Institute, Dr. Shaheen received his medical degree from Damascus University in Syria, and then went on to complete his residency and internship at Southern Illinois University School of Medicine, Springfield, Ill, specializing in internal medicine. He completed his fellowship at Indiana University Medical Center, specializing in hematology/oncology. Dr. Shaheen is certified by the American Board of Internal Medicine in hematology and medical oncology. ",,,,,,,,,,
mbogan,"Dr. Bogan is an assistant professor in the School of Natural Resources and the Environment and he currently serves as the president of the Desert Fishes Council. His research focuses on how disturbance and dispersal processes shape biodiversity in aquatic and riparian ecosystems. Before coming to the University of Arizona, he was a David H. Smith Conservation Research Fellow at the University of California Berkeley. In California, Dr. Bogan assessed the impacts of stream drying on aquatic biodiversity to identify minimum flow needs and influence water withdrawal planning. He earned his graduate degrees from Oregon State University where his research focused on stream ecosystems of the Madrean Sky Islands and Sonoran Desert. Before academia, Dr. Bogan worked as a scientific aide at the California Department of Fish and Wildlife and as a research associate at the Sierra Nevada Aquatic Research Lab.","Dr. Bogan is an assistant professor in the School of Natural Resources and the Environment and he currently serves as the president of the Desert Fishes Council. His research focuses on how disturbance and dispersal processes shape biodiversity in aquatic and riparian ecosystems. Before coming to the University of Arizona, he was a David H. Smith Conservation Research Fellow at the University of California Berkeley. In California, Dr. Bogan assessed the impacts of stream drying on aquatic biodiversity to identify minimum flow needs and influence water withdrawal planning. He earned his graduate degrees from Oregon State University where his research focused on stream ecosystems of the Madrean Sky Islands and Sonoran Desert. Before academia, Dr. Bogan worked as a scientific aide at the California Department of Fish and Wildlife and as a research associate at the Sierra Nevada Aquatic Research Lab.",,,,,,,,,,
marekrom,,,,,,,,,,,,
dezapien,"Jill Guernsey de Zapien has been involved in community based public health interventions, policies and research in Arizona and throughout the Southwest and Mexico for more than thirty years. As co-investigator of numerous initiatives that focused on underserved populations in the southwest and northern Mexico, Ms. de Zapien collaborated across the university to work directly with communities to develop strategies for prevention interventions and the elimination of health disparities. She is particularly proud of her collaborative work with the promotora movement throughout the border region, her long-term commitment to community based participatory research and action, her binational collaborations in the border region and her work to improve the quality of life for farmworkers in the United States and Mexico. . She is a co-author of over 60 publications and reports and has received numerous awards and recognition for her work from universities and organizations in the United States and Mexico. Ms. de Zapien previously served as the Associate Dean for Community Programs at the Mel and Enid Zuckerman College of Public Health for 16 years.","Jill Guernsey de Zapien has been involved in community based public health interventions, policies and research in Arizona and throughout the Southwest and Mexico for more than thirty years. As co-investigator of numerous initiatives that focused on underserved populations in the southwest and northern Mexico, Ms. de Zapien collaborated across the university to work directly with communities to develop strategies for prevention interventions and the elimination of health disparities. She is particularly proud of her collaborative work with the promotora movement throughout the border region, her long-term commitment to community based participatory research and action, her binational collaborations in the border region and her work to improve the quality of life for farmworkers in the United States and Mexico. . She is a co-author of over 60 publications and reports and has received numerous awards and recognition for her work from universities and organizations in the United States and Mexico. Ms. de Zapien previously served as the Associate Dean for Community Programs at the Mel and Enid Zuckerman College of Public Health for 16 years.",,,,,,,,,,
